2026/09/12 05:58:43.667, 13139 MiB, 16311 MiB, 82 %, 53, 135.78 W, 2775 MHz
2026/09/12 05:58:43.868, 13139 MiB, 16311 MiB, 97 %, 53, 135.75 W, 2775 MHz
2026/09/12 05:58:44.069, 13139 MiB, 16311 MiB, 97 %, 53, 135.74 W, 2767 MHz
2026/09/12 05:58:44.270, 13139 MiB, 16311 MiB, 97 %, 53, 136.07 W, 2767 MHz
2026/09/12 05:58:44.471, 13139 MiB, 16311 MiB, 97 %, 53, 136.88 W, 2775 MHz
2026/09/12 05:58:44.672, 13139 MiB, 16311 MiB, 83 %, 53, 135.97 W, 2775 MHz
2026/09/12 05:58:44.873, 13139 MiB, 16311 MiB, 91 %, 53, 134.92 W, 2767 MHz
2026/09/12 05:58:45.075, 13139 MiB, 16311 MiB, 97 %, 53, 135.04 W, 2767 MHz
2026/09/12 05:58:45.276, 13135 MiB, 16311 MiB, 97 %, 52, 135.38 W, 2767 MHz
2026/09/12 05:58:45.477, 13135 MiB, 16311 MiB, 97 %, 52, 134.96 W, 2775 MHz
2026/09/12 05:58:45.678, 13135 MiB, 16311 MiB, 97 %, 52, 139.46 W, 2775 MHz
2026/09/12 05:58:45.879, 13135 MiB, 16311 MiB, 97 %, 54, 136.88 W, 2775 MHz
2026/09/12 05:58:46.080, 13135 MiB, 16311 MiB, 83 %, 54, 136.29 W, 2775 MHz
2026/09/12 05:58:46.281, 13135 MiB, 16311 MiB, 97 %, 54, 136.58 W, 2767 MHz
2026/09/12 05:58:46.483, 13135 MiB, 16311 MiB, 97 %, 53, 136.32 W, 2767 MHz
2026/09/12 05:58:46.684, 13135 MiB, 16311 MiB, 96 %, 53, 136.52 W, 2775 MHz
2026/09/12 05:58:46.885, 13135 MiB, 16311 MiB, 97 %, 53, 138.91 W, 2775 MHz
2026/09/12 05:58:47.087, 13135 MiB, 16311 MiB, 83 %, 54, 136.33 W, 2775 MHz
2026/09/12 05:58:47.288, 13135 MiB, 16311 MiB, 97 %, 54, 136.30 W, 2767 MHz
2026/09/12 05:58:47.489, 13135 MiB, 16311 MiB, 97 %, 54, 136.60 W, 2767 MHz
2026/09/12 05:58:47.690, 13135 MiB, 16311 MiB, 97 %, 53, 136.40 W, 2767 MHz
2026/09/12 05:58:47.892, 13135 MiB, 16311 MiB, 97 %, 53, 136.69 W, 2767 MHz
2026/09/12 05:58:48.093, 13135 MiB, 16311 MiB, 97 %, 54, 139.61 W, 2767 MHz
2026/09/12 05:58:48.294, 13135 MiB, 16311 MiB, 86 %, 54, 136.58 W, 2767 MHz
